Ants,Larva,Food
228.8,193.3,22.6
233.2,192.5,22.3
235.2,188.9,23.0
235.7,191.3,23.4
234.3,190.0,25.1
231.7,183.4,25.7
231.5,182.1,26.7
229.5,185.2,28.4
226.3,181.7,31.8
228.1,183.7,32.8
226.0,186.6,32.0
225.1,180.9,34.6
226.6,178.0,33.7
224.4,179.6,35.4
226.8,173.8,35.3
227.6,169.2,37.5
229.3,174.2,38.0
231.0,177.1,39.3
232.4,180.6,38.3
235.3,182.3,40.8
239.2,188.9,40.5
242.4,189.7,41.2
247.0,184.6,41.1
249.3,181.0,42.7
254.0,187.6,42.4
253.5,185.4,43.9
256.8,188.4,45.1
257.1,197.3,45.6
259.5,202.3,47.7
262.5,198.4,50.0
260.8,206.0,51.6
263.4,207.2,50.0
267.1,206.3,50.8
267.9,202.5,53.9
266.5,200.1,53.0
268.0,199.0,54.4
269.1,196.9,58.2
271.3,196.6,58.0
269.3,203.3,58.8
266.6,204.7,60.6
263.6,205.7,62.1
262.3,210.0,63.2
263.9,214.3,64.3
264.6,207.8,66.1
263.5,209.5,66.5
265.5,208.0,66.9
263.2,200.7,67.3
263.9,197.5,67.2
261.0,198.1,68.9
256.5,200.6,69.5
255.7,199.0,70.7
255.3,200.0,71.8
255.0,198.4,71.5
252.9,200.3,73.1
252.2,200.5,74.4
254.9,201.3,76.3
249.4,201.4,76.9
251.4,204.1,79.1
248.5,205.3,79.2
250.4,206.2,80.3
251.8,207.8,82.5
250.0,208.5,83.9
250.2,205.8,85.0
250.2,204.4,87.3
249.6,200.6,87.9
249.2,202.9,89.5
249.2,208.2,90.7
247.2,208.6,91.5
244.6,211.4,93.0
244.8,215.2,92.8
243.7,214.0,93.7
244.5,205.2,95.6
244.5,203.1,95.6
244.6,199.3,97.1
244.4,193.8,98.7
244.0,192.3,99.5
241.2,194.7,101.2
239.0,200.1,101.9
235.7,195.2,102.5
232.6,196.3,104.0
234.0,198.9,106.0
232.4,195.0,106.7
235.8,188.6,108.0
236.0,191.8,109.0
234.5,190.9,109.0
234.4,187.8,110.7
235.4,188.5,110.5
235.6,199.4,111.2
236.6,199.3,113.5
237.5,202.6,115.3
236.6,198.6,116.7
237.2,199.2,118.4
237.5,196.0,120.2
239.9,195.5,120.9
241.1,196.4,122.8
244.4,203.9,124.0
246.4,203.2,125.7
245.2,208.0,127.1
242.3,211.3,126.5
243.9,207.5,128.7
242.0,204.2,128.4
239.2,206.5,129.3
241.4,208.8,132.1
241.5,211.2,132.6
239.5,211.9,134.6
238.8,210.2,135.1
235.2,211.3,136.2
237.7,210.8,137.2
238.9,209.7,139.0
239.4,211.7,140.4
238.7,213.5,142.9
237.4,208.7,144.0
237.3,204.8,144.5
238.1,204.3,145.2
237.6,201.5,147.1
237.4,200.6,149.5
236.7,202.0,150.2
235.5,205.1,151.8
239.3,208.6,154.9
241.5,212.0,154.3
241.3,213.1,155.8
240.7,218.3,158.4
239.7,213.5,160.1
241.0,209.4,163.1
244.6,208.3,163.6
244.0,207.7,166.3
243.7,206.9,167.6
241.8,204.9,169.8
243.7,211.1,171.4
247.9,213.0,173.7
248.5,210.0,175.6
249.5,210.6,176.5
249.5,220.3,176.9
251.1,217.4,177.7
254.8,218.3,179.5
254.5,223.5,180.6
254.6,224.0,183.8
256.9,220.5,184.4
254.2,220.7,185.5
250.5,219.8,186.9
250.6,219.6,187.8
250.8,219.4,188.8
251.6,220.2,191.4
251.3,217.6,193.8
250.3,217.7,197.1
246.5,217.6,200.2
245.9,214.0,202.4
244.6,213.5,203.9
241.8,214.9,206.4
238.7,212.4,208.2
240.4,211.9,209.6
240.4,215.0,210.6
242.0,207.9,211.9
243.6,205.2,213.6
247.3,207.6,215.4
249.6,208.7,216.4
252.4,205.8,217.1
250.7,210.8,218.6
252.0,214.4,220.6
253.1,211.3,220.1
254.3,212.2,221.3
256.4,216.1,221.7
259.4,215.6,222.2
260.5,216.7,222.9
259.3,218.5,225.6
259.6,222.6,226.8
259.1,220.2,229.4
262.6,217.6,230.3
260.2,215.2,233.7
260.3,215.1,234.3
261.7,214.2,235.0
260.6,214.9,236.3
261.0,214.5,239.9
256.7,219.0,241.1
254.8,222.5,242.9
252.4,220.2,243.4
249.8,221.7,243.5
245.9,221.4,245.5
244.1,221.8,245.2
241.8,220.3,247.8
240.7,221.5,248.7
243.0,221.7,251.1
242.7,221.0,252.2
238.8,222.3,252.8
234.6,220.0,255.1
235.2,221.6,256.2
234.7,217.4,256.8
235.6,213.2,257.9
235.6,212.2,259.5
235.0,208.1,262.4
235.5,206.1,262.6
235.8,205.1,264.1
236.4,213.7,265.4
236.5,209.5,266.4
239.4,213.2,267.7
240.5,214.0,268.6
239.0,215.2,271.5
235.5,213.7,272.2
231.4,210.1,274.5
229.6,206.7,275.2
225.8,207.8,277.1
