Ants,Larva,Food
152.4,78.6,2.0
152.2,78.2,2.3
153.5,78.5,2.7
153.1,80.3,1.3
151.5,80.9,1.4
150.9,79.3,1.6
149.7,78.1,2.4
152.7,77.4,0.6
151.9,77.2,0.9
150.9,77.3,1.5
152.5,76.0,1.9
153.3,76.2,3.9
154.5,77.9,2.7
155.5,76.3,2.5
155.5,76.7,1.5
153.7,78.6,2.3
152.8,77.8,2.0
152.4,75.6,1.4
152.2,76.4,2.0
152.5,75.7,1.7
154.5,76.0,2.0
154.2,77.4,3.0
155.1,78.3,1.7
154.1,79.5,1.8
154.9,81.4,3.4
157.6,80.5,1.1
158.2,81.2,2.9
157.0,81.6,1.8
157.8,79.2,2.3
158.4,78.3,1.6
155.6,76.8,1.9
156.5,79.3,1.5
158.1,78.0,1.5
155.9,79.3,2.0
153.4,79.5,2.6
154.8,81.9,1.0
155.5,78.6,0.9
153.9,78.3,2.3
154.9,76.9,1.9
155.1,76.2,2.4
157.1,74.4,1.4
154.6,75.4,1.6
153.6,75.4,1.1
153.0,76.8,2.1
152.1,77.1,1.2
151.0,77.4,2.2
150.7,77.4,3.0
150.7,78.6,1.6
149.0,77.0,0.8
150.8,76.1,1.8
151.5,77.2,1.7
151.9,76.9,3.2
153.7,74.9,2.0
154.3,76.6,2.2
155.4,76.4,3.2
156.6,74.4,2.5
154.1,73.7,1.4
150.3,73.4,1.0
151.7,71.3,1.6
151.0,72.1,1.9
151.2,73.8,1.4
153.3,74.0,1.1
153.4,74.8,3.4
155.0,77.4,3.2
154.9,79.1,1.9
155.3,79.1,2.1
154.7,78.4,3.7
156.2,78.4,2.3
156.3,78.7,1.1
157.2,76.3,2.6
158.8,77.0,2.5
158.4,78.7,1.9
161.3,78.9,2.2
162.6,79.4,1.9
162.9,79.2,4.8
162.6,82.2,1.9
164.8,82.5,1.7
164.0,82.0,3.0
163.1,80.5,1.2
160.8,80.1,4.7
164.3,79.1,1.8
164.8,78.4,3.5
164.7,83.3,2.3
164.9,83.3,2.0
163.8,87.4,1.5
161.4,85.1,2.2
161.9,85.6,1.8
162.4,85.3,1.7
162.3,84.7,1.2
164.1,82.3,0.8
163.3,83.9,1.1
159.3,78.5,1.6
157.5,72.8,1.2
154.7,69.7,2.0
155.9,69.6,2.7
157.8,69.1,2.3
157.7,74.5,3.4
157.7,79.6,3.3
156.1,82.6,1.6
157.5,83.8,2.3
156.0,81.3,1.8
155.6,81.5,2.2
157.5,78.1,1.6
155.2,75.5,2.3
155.5,74.8,2.2
154.5,76.3,3.1
157.2,76.8,1.4
154.4,76.8,1.7
154.0,80.4,2.7
154.0,79.0,3.9
155.1,79.1,3.1
153.0,76.7,0.9
152.2,78.4,1.5
152.0,76.7,2.0
152.3,75.7,1.9
152.7,76.2,1.1
151.4,76.1,1.7
151.7,77.1,3.1
151.6,77.2,1.3
148.5,78.7,1.9
150.7,77.0,1.6
147.2,76.6,1.4
149.3,76.0,2.4
148.7,76.3,1.4
148.6,74.9,2.5
148.2,75.0,2.4
148.3,75.8,3.6
150.3,76.7,1.6
149.2,76.8,1.7
146.6,76.2,1.4
145.8,74.4,1.8
143.4,74.0,2.1
148.6,72.6,2.6
149.6,72.3,2.5
150.6,76.9,2.7
150.3,77.7,3.0
150.5,77.3,2.9
149.3,78.6,2.0
148.8,77.8,1.5
148.8,75.6,2.1
146.9,77.3,1.9
149.8,76.7,2.4
148.8,75.4,0.7
149.3,73.8,3.3
149.2,74.3,1.5
147.3,71.6,2.0
146.5,73.0,1.2
145.9,72.0,2.0
143.8,72.9,2.1
144.2,71.1,1.9
144.3,73.0,3.3
144.1,72.0,2.6
143.7,73.5,3.5
144.2,73.4,3.1
143.8,72.9,2.3
143.4,72.7,2.3
146.1,74.7,1.8
142.8,72.8,1.2
141.4,71.9,2.9
141.8,73.6,2.3
141.3,72.1,1.4
140.9,69.8,2.2
142.5,73.2,2.1
142.4,73.5,2.1
142.6,73.8,1.5
143.5,74.1,2.4
142.1,75.2,2.3
141.6,76.0,1.5
140.9,75.6,2.8
144.9,77.1,0.7
144.1,75.4,2.8
144.6,73.6,1.4
144.4,70.0,1.7
145.0,71.3,3.2
147.5,70.9,3.1
147.3,71.6,3.5
149.5,74.9,2.6
148.7,78.1,1.9
147.7,77.7,1.5
148.8,79.2,1.8
147.8,79.5,2.3
149.1,77.8,1.6
148.9,75.8,1.5
147.7,72.9,1.4
146.6,70.3,0.8
146.1,68.9,2.6
145.0,68.9,2.2
145.1,70.3,2.9
145.3,75.3,3.3
143.3,76.1,1.1
140.8,77.9,0.7
138.6,75.9,1.7
140.5,74.1,1.2
140.2,70.8,1.7
140.0,70.2,2.3
139.5,69.9,2.4
139.4,69.8,3.4
139.5,71.2,1.3
138.7,71.5,2.5
140.1,71.3,4.2
139.1,72.3,1.9
139.7,72.4,2.2
140.4,71.4,2.9
140.7,71.3,1.6
141.4,71.3,2.8
141.9,72.6,3.2
142.0,72.6,2.3
141.8,74.7,1.8
142.8,73.6,1.5
143.0,75.4,1.8
144.6,70.7,1.4
145.0,71.6,2.3
143.3,71.1,0.6
142.0,69.8,2.2
142.4,69.0,1.3
139.3,70.8,1.8
139.4,69.9,2.8
139.9,70.0,1.4
140.1,70.0,2.4
142.0,68.7,2.7
143.6,70.8,2.0
145.0,71.9,1.2
147.3,72.8,2.5
147.0,73.2,3.0
146.6,75.5,1.6
148.3,75.1,1.9
148.6,75.4,1.5
149.0,76.2,3.1
148.7,77.9,2.5
147.3,77.0,2.6
146.3,76.1,1.8
145.7,75.6,2.3
147.1,75.7,3.3
147.4,76.3,1.9
145.4,75.0,1.4
143.9,73.2,1.9
143.9,73.0,2.8
145.0,71.4,0.4
145.7,66.7,1.5
146.0,67.7,3.9
146.6,69.4,2.2
145.4,71.6,1.5
142.8,71.0,3.4
141.3,74.4,2.5
143.2,76.4,3.0
145.9,76.3,2.4
145.8,77.0,1.0
145.6,76.9,2.6
146.3,74.8,2.9
146.7,73.9,2.5
146.7,74.5,3.9
145.5,70.5,2.4
145.2,72.3,1.4
144.5,71.7,1.6
144.1,71.6,1.5
145.7,70.1,1.3
142.8,71.3,0.9
143.1,70.0,1.5
143.0,72.7,1.2
139.9,71.5,3.2
137.1,72.3,2.1
138.3,69.1,2.4
138.7,72.0,2.4
137.4,68.4,2.5
137.2,69.2,1.6
136.7,68.9,3.1
136.2,70.8,1.7
136.0,67.4,1.1
134.7,68.2,2.8
134.8,68.1,3.7
136.9,67.4,4.2
138.1,67.7,2.0
136.7,69.6,3.9
136.6,72.0,3.9
139.6,73.3,2.8
138.0,75.2,3.0
137.2,75.1,3.9
138.5,76.6,2.2
140.5,73.4,3.4
142.4,72.8,1.5
143.2,71.6,1.9
142.0,73.4,1.1
140.9,66.1,2.8
139.9,68.1,2.0
141.8,68.6,3.8
143.1,69.2,2.1
144.4,70.5,2.7
144.8,75.3,4.3
145.3,77.5,4.3
146.3,78.7,4.8
145.5,79.8,1.4
142.7,77.3,2.9
144.3,74.7,3.3
145.0,71.4,2.4
145.2,67.8,2.5
145.7,67.7,2.2
144.2,68.7,2.2
144.1,69.6,2.0
144.5,69.9,1.6
143.9,73.1,4.4
144.3,72.5,3.8
144.4,74.5,0.8
144.3,75.4,1.5
145.2,74.2,2.2
145.1,74.8,1.6
147.4,74.4,2.5
148.1,74.0,3.8
151.0,73.7,1.4
149.8,74.8,3.1
148.9,73.9,2.8
150.1,73.3,2.7
150.8,74.7,2.9
152.5,74.8,2.5
154.6,76.3,3.0
156.0,77.7,3.8
158.2,78.7,3.2
159.7,78.1,2.3
162.2,80.2,2.8
164.4,80.3,1.8
163.8,81.5,2.7
165.3,84.8,4.1
165.0,87.0,3.4
163.6,87.1,3.0
165.8,87.6,2.0
162.9,87.8,2.6
165.7,84.4,2.7
167.8,85.1,2.2
169.0,84.4,2.5
168.5,84.9,2.1
167.4,83.3,3.7
170.1,83.1,3.8
172.4,81.3,1.5
170.2,80.4,1.3
173.1,78.3,1.9
173.7,79.7,3.0
173.2,81.3,2.3
171.2,80.3,1.4
171.7,83.4,2.5
170.1,87.7,2.8
170.5,88.5,1.5
168.3,85.6,2.0
165.0,86.0,1.9
165.7,82.8,1.5
166.7,80.0,0.8
165.5,81.5,1.9
163.8,82.8,0.8
162.2,83.6,1.7
159.1,84.6,0.9
158.9,83.7,0.8
159.9,80.6,1.5
160.1,77.9,2.8
161.1,76.1,2.2
164.5,77.6,0.9
163.6,78.5,1.8
161.8,78.1,2.9
163.6,81.1,2.9
165.1,82.7,2.9
166.2,83.9,2.0
166.1,84.5,0.8
165.0,86.2,2.1
164.7,85.4,2.2
164.7,84.1,2.7
166.1,83.2,2.0
167.2,83.2,2.0
164.2,83.4,1.0
163.7,81.3,3.2
166.3,82.8,1.9
164.7,81.0,1.6
